2026-06-05 18:24:11,005 | INFO | ✅ Диалоги с GigaChat добавлены в conversations.json
2026-06-05 18:24:11,005 | INFO | 🔧 Сборка данных: C:\Users\baura\AppData\Local\Programs\Python\Python311\python.exe build_training_data.py --config configs/prod.yaml --verbose
2026-06-05 18:24:11,336 | INFO | ✅ Данные собраны: D:\NewCod\Pantikur\data\training_pairs.jsonl (762 строк)
2026-06-05 18:24:11,348 | INFO | 📦 Резервная копия токенизатора: D:\NewCod\Pantikur\data\tokenizer.json.backup
2026-06-05 18:24:11,365 | INFO | 📦 Резервная копия модели: D:\NewCod\Pantikur\models\chat_model.pth.backup
2026-06-05 18:24:11,370 | ERROR | ❌ Ошибка в tokenizer.json: Некорректный формат tokenizer.json
2026-06-05 18:24:11,370 | INFO | 🔄 Восстанавливаем из бэкапа: D:\NewCod\Pantikur\data\tokenizer.json.backup
2026-06-05 18:24:11,382 | ERROR | ❌ Не удалось создать или восстановить токенизатор.
2026-06-05 18:38:11,585 | INFO | ✅ Диалоги с GigaChat добавлены в conversations.json
2026-06-05 18:38:11,585 | INFO | 🔧 Сборка данных: C:\Users\baura\AppData\Local\Programs\Python\Python311\python.exe build_training_data.py --config configs/prod.yaml --verbose
2026-06-05 18:38:11,718 | INFO | ✅ Данные собраны: D:\NewCod\Pantikur\data\training_pairs.jsonl (762 строк)
2026-06-05 18:38:11,725 | INFO | 📦 Резервная копия модели: D:\NewCod\Pantikur\models\chat_model.pth.backup
2026-06-05 18:38:11,725 | WARNING | ⚠️ Токенизатор не найден: D:\NewCod\Pantikur\data\tokenizer.json. Создаём заглушку...
2026-06-05 18:38:11,725 | WARNING | ⚠️ Создан фиктивный токенизатор: D:\NewCod\Pantikur\data\tokenizer.json
2026-06-05 18:38:11,725 | ERROR | ❌ Не удалось создать или восстановить токенизатор.
2026-06-05 18:47:12,961 | INFO | ✅ Диалоги с GigaChat добавлены в conversations.json
2026-06-05 18:47:12,961 | INFO | 🔧 Сборка данных: C:\Users\baura\AppData\Local\Programs\Python\Python311\python.exe build_training_data.py --config configs/prod.yaml --verbose
2026-06-05 18:47:13,087 | INFO | ✅ Данные собраны: D:\NewCod\Pantikur\data\training_pairs.jsonl (762 строк)
2026-06-05 18:47:13,093 | INFO | 📦 Резервная копия токенизатора: D:\NewCod\Pantikur\data\tokenizer.json.backup
2026-06-05 18:47:13,099 | INFO | 📦 Резервная копия модели: D:\NewCod\Pantikur\models\chat_model.pth.backup
2026-06-05 18:47:13,100 | INFO | ✅ Токенизатор загружен: 3 токенов
2026-06-05 18:47:13,100 | INFO | 🧠 Запуск обучения...
2026-06-05 18:50:04,825 | INFO | 🎉 Обучение завершено успешно!
2026-06-05 18:50:04,825 | INFO | ✅ Успешно: tokenizer.json (0 КБ), chat_model.pth (11324 КБ)
